Ad Title,Brand,Platform,Date of Release,View Count,Celebrity Featured,Ad Copy / Script,Ad Link,Source
SBB Werbespot 2000,SBB,Instagram,2024-12-23,362896,Lara Gut-Behrami,Mit Swatch immer im Takt bleiben.,http://www.ruegg.com/,Horizont.ch
SBB Werbespot 1981,SBB,Facebook,2023-10-03,130642,,Coop – Für mich und dich.,https://kung.com/,Meta Ads Library
SBB Werbespot 1995,SBB,YouTube,2020-04-25,5553670,Lara Gut-Behrami,Coop – Für mich und dich.,https://hirt-leunberger.net/,Horizont.ch
SBB Werbespot 2015,SBB,TV,2024-06-09,3604297,Bastian Baker,Ricola – Wer hat’s erfunden?,http://www.geiger-beck.org/,YouTube Leaderboard
Galaxus Werbespot 2020,Galaxus,TV,2024-11-28,4086817,,Galaxus – Fast alles für fast jeden.,http://baumgartner.info/,Statista CH
SBB Werbespot 2004,SBB,YouTube,2024-10-25,7241838,Lara Gut-Behrami,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,http://www.bieri.org/,Statista CH
Nestlé Werbespot 1974,Nestlé,YouTube,2022-04-19,1661177,Stress,Frisch ab Hof – jetzt bei Migros.,https://www.gut.com/,Statista CH
UBS Werbespot 2012,UBS,Facebook,2020-12-29,3224348,Lara Gut-Behrami,UBS – Vermögen weitsichtig gestalten.,https://fuchs-steiner.com/,Horizont.ch
Emmi Werbespot 1986,Emmi,TV,2022-07-23,3088418,Michelle Hunziker,"Nestlé – Qualität, der man vertraut.",https://www.stadelmann.com/,Statista CH
SBB Werbespot 2021,SBB,TV,2020-11-30,1652635,Lara Gut-Behrami,Frisch ab Hof – jetzt bei Migros.,http://scheidegger.net/,Horizont.ch
Migros Werbespot 1984,Migros,Facebook,2024-08-07,2800237,Lara Gut-Behrami,Emmi – So schmeckt die Schweiz.,https://www.bernasconi-gross.com/,Statista CH
Emmi Werbespot 1989,Emmi,TV,2021-08-22,993738,Stéphane Lambiel,Swisscom – Die Zukunft ist jetzt.,https://zingg.com/,Statista CH
Migros Werbespot 2015,Migros,Instagram,2025-01-06,7643773,Viola Tami,"Nestlé – Qualität, der man vertraut.",https://www.hartmann.com/,Statista CH
Swatch Werbespot 2020,Swatch,TV,2025-01-01,2607059,,UBS – Vermögen weitsichtig gestalten.,http://schumacher-furrer.com/,SRF
SBB Werbespot 1983,SBB,TikTok,2022-07-18,1032698,Roger Federer,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://bolliger.biz/,Meta Ads Library
Migros Werbespot 1988,Migros,TV,2020-09-02,8446429,,Ricola – Wer hat’s erfunden?,http://sigrist.com/,YouTube Leaderboard
Migros Werbespot 2020,Migros,YouTube,2024-01-21,3127625,,Coop – Für mich und dich.,https://www.bianchi.com/,Horizont.ch
Coop Werbespot 2007,Coop,Facebook,2020-08-08,6784229,,Coop – Für mich und dich.,https://www.christen-bauer.com/,Horizont.ch
SBB Werbespot 1994,SBB,TikTok,2020-08-20,676754,,Mit Swatch immer im Takt bleiben.,https://www.gut.com/,Meta Ads Library
Nestlé Werbespot 2023,Nestlé,TikTok,2025-01-22,8780838,,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://www.fehr.biz/,SRF
SBB Werbespot 1971,SBB,Instagram,2021-10-28,4014485,,"Nestlé – Qualität, der man vertraut.",https://walter.com/,Statista CH
Swisscom Werbespot 1980,Swisscom,Instagram,2021-03-20,7680955,,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://www.gerber-friedli.info/,Meta Ads Library
Migros Werbespot 1993,Migros,TikTok,2022-11-23,1687407,Stress,Coop – Für mich und dich.,http://www.stauffer.biz/,Horizont.ch
SBB Werbespot 1992,SBB,Instagram,2022-09-01,2232252,,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,http://sporri-peter.biz/,Meta Ads Library
SBB Werbespot 2016,SBB,Instagram,2024-11-09,2656552,Anna Rossinelli,Galaxus – Fast alles für fast jeden.,https://www.hafner.org/,Horizont.ch
Ricola Werbespot 1988,Ricola,TikTok,2020-08-15,141249,,Ricola – Wer hat’s erfunden?,http://wagner-wyss.com/,SRF
Coop Werbespot 1999,Coop,Instagram,2024-08-24,1946571,Michelle Hunziker,Coop – Für mich und dich.,http://frei.biz/,Horizont.ch
Swisscom Werbespot 1970,Swisscom,Instagram,2024-09-20,3543779,Bastian Baker,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,http://bernasconi-steiger.com/,YouTube Leaderboard
Ricola Werbespot 2012,Ricola,TV,2022-12-20,4223115,,Frisch ab Hof – jetzt bei Migros.,http://hotz.com/,Meta Ads Library
Nestlé Werbespot 1997,Nestlé,YouTube,2022-10-24,69486,Bastian Baker,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,http://www.steiger-kessler.com/,YouTube Leaderboard
Ricola Werbespot 2011,Ricola,TV,2025-02-20,7185395,Michelle Hunziker,Ricola – Wer hat’s erfunden?,https://ackermann.com/,Meta Ads Library
Coop Werbespot 1999,Coop,Facebook,2025-03-25,614451,Lara Gut-Behrami,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://mader-steinmann.com/,Horizont.ch
Swatch Werbespot 2004,Swatch,TV,2024-04-28,2148181,Michelle Hunziker,Frisch ab Hof – jetzt bei Migros.,http://www.pfister-steffen.org/,SRF
UBS Werbespot 1992,UBS,Instagram,2021-02-03,3534499,Roger Federer,UBS – Vermögen weitsichtig gestalten.,http://zingg.com/,Meta Ads Library
UBS Werbespot 1971,UBS,TV,2020-09-09,2602974,,UBS – Vermögen weitsichtig gestalten.,http://winkler.biz/,YouTube Leaderboard
Swisscom Werbespot 2012,Swisscom,YouTube,2025-03-12,3019172,Viola Tami,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,http://kung-gross.com/,Statista CH
SBB Werbespot 2014,SBB,Facebook,2020-05-06,1823543,Bastian Baker,Emmi – So schmeckt die Schweiz.,http://fischer.net/,Meta Ads Library
Emmi Werbespot 2001,Emmi,Facebook,2020-09-22,7732606,Stéphane Lambiel,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,http://www.egli-zimmermann.info/,SRF
SBB Werbespot 2015,SBB,YouTube,2024-10-25,3250180,Stéphane Lambiel,Emmi – So schmeckt die Schweiz.,https://zurcher.biz/,SRF
Ricola Werbespot 2007,Ricola,Instagram,2024-02-03,5901254,Lara Gut-Behrami,Ricola – Wer hat’s erfunden?,http://hafner-weibel.com/,Statista CH
Swatch Werbespot 2013,Swatch,YouTube,2022-08-28,1945113,Anna Rossinelli,"Nestlé – Qualität, der man vertraut.",https://www.lutz-bianchi.com/,YouTube Leaderboard
Galaxus Werbespot 1985,Galaxus,YouTube,2022-08-11,1828692,Bastian Baker,Mit Swatch immer im Takt bleiben.,https://bieri.com/,Statista CH
UBS Werbespot 1996,UBS,TV,2021-08-06,8590255,Anna Rossinelli,Coop – Für mich und dich.,http://www.lang-imhof.net/,Statista CH
Galaxus Werbespot 2001,Galaxus,Instagram,2023-11-01,754682,Stéphane Lambiel,Emmi – So schmeckt die Schweiz.,http://www.koch-wirth.org/,Meta Ads Library
Swatch Werbespot 2017,Swatch,Facebook,2020-06-18,6120622,,Emmi – So schmeckt die Schweiz.,https://kagi.biz/,Meta Ads Library
UBS Werbespot 1998,UBS,Instagram,2024-11-16,2100865,,"Nestlé – Qualität, der man vertraut.",http://hauser.info/,Horizont.ch
Ricola Werbespot 1971,Ricola,TV,2023-08-10,5482441,,Emmi – So schmeckt die Schweiz.,https://felber.org/,SRF
Swatch Werbespot 2006,Swatch,Facebook,2020-07-11,7063918,Michelle Hunziker,Emmi – So schmeckt die Schweiz.,https://www.sporri.com/,YouTube Leaderboard
Galaxus Werbespot 2001,Galaxus,Instagram,2021-11-04,6822810,,Ricola – Wer hat’s erfunden?,http://hurlimann-gasser.info/,Meta Ads Library
Ricola Werbespot 1992,Ricola,Facebook,2023-03-03,7222326,Bastian Baker,Mit Swatch immer im Takt bleiben.,https://haas-bieri.info/,Horizont.ch
UBS Werbespot 1971,UBS,TV,2024-11-19,7428210,Stress,UBS – Vermögen weitsichtig gestalten.,http://stalder.com/,Horizont.ch
Emmi Werbespot 2021,Emmi,YouTube,2020-07-24,4771145,Michelle Hunziker,Ricola – Wer hat’s erfunden?,http://www.seiler.com/,Horizont.ch
UBS Werbespot 1978,UBS,Facebook,2024-04-29,5217974,Lara Gut-Behrami,UBS – Vermögen weitsichtig gestalten.,http://www.suter-hafliger.com/,YouTube Leaderboard
Swisscom Werbespot 1981,Swisscom,YouTube,2021-04-09,4117776,Roger Federer,Galaxus – Fast alles für fast jeden.,http://schmid.com/,Horizont.ch
Coop Werbespot 2009,Coop,TV,2023-06-29,3272081,Stress,Emmi – So schmeckt die Schweiz.,https://www.schnyder.com/,Statista CH
Nestlé Werbespot 1976,Nestlé,Facebook,2022-11-11,103026,Stéphane Lambiel,Coop – Für mich und dich.,http://www.roos-luscher.com/,Statista CH
SBB Werbespot 1974,SBB,TikTok,2024-08-07,7803853,Michelle Hunziker,Frisch ab Hof – jetzt bei Migros.,https://www.michel-brunner.biz/,Horizont.ch
SBB Werbespot 1994,SBB,TV,2024-03-17,2247058,Lara Gut-Behrami,Galaxus – Fast alles für fast jeden.,http://walder.com/,Horizont.ch
Swatch Werbespot 2011,Swatch,Instagram,2024-11-16,7435149,,Mit Swatch immer im Takt bleiben.,https://walder-schnyder.com/,Horizont.ch
Nestlé Werbespot 1991,Nestlé,TV,2022-05-21,2680226,,Galaxus – Fast alles für fast jeden.,http://gross-weibel.info/,Statista CH
Ricola Werbespot 2008,Ricola,Instagram,2023-07-10,8755959,Stéphane Lambiel,Galaxus – Fast alles für fast jeden.,https://www.hurlimann-fluckiger.info/,YouTube Leaderboard
Ricola Werbespot 1984,Ricola,YouTube,2023-04-26,4803722,Stress,UBS – Vermögen weitsichtig gestalten.,https://schoch-suter.com/,SRF
UBS Werbespot 2007,UBS,TikTok,2020-05-20,1361868,Anna Rossinelli,Swisscom – Die Zukunft ist jetzt.,http://www.vogel.info/,YouTube Leaderboard
SBB Werbespot 2007,SBB,Facebook,2022-05-05,3599533,Viola Tami,Coop – Für mich und dich.,https://zbinden-amrein.com/,Statista CH
Nestlé Werbespot 1990,Nestlé,TikTok,2022-03-08,7826912,Anna Rossinelli,Emmi – So schmeckt die Schweiz.,https://www.steffen-schmid.com/,Meta Ads Library
SBB Werbespot 2002,SBB,TV,2025-01-02,337691,Viola Tami,Mit Swatch immer im Takt bleiben.,https://schaller.info/,Statista CH
Emmi Werbespot 1988,Emmi,Instagram,2022-11-27,5019888,Roger Federer,Emmi – So schmeckt die Schweiz.,https://www.vogel.com/,Statista CH
Swatch Werbespot 1978,Swatch,TikTok,2024-11-08,3710025,,Galaxus – Fast alles für fast jeden.,http://www.weber.com/,YouTube Leaderboard
Ricola Werbespot 2019,Ricola,TV,2024-10-04,496955,Viola Tami,Emmi – So schmeckt die Schweiz.,https://www.hofer.com/,SRF
Nestlé Werbespot 1982,Nestlé,TV,2022-11-14,2151239,Michelle Hunziker,Mit Swatch immer im Takt bleiben.,http://www.baumann-baur.net/,Horizont.ch
Migros Werbespot 1989,Migros,TikTok,2021-05-16,464696,Viola Tami,Coop – Für mich und dich.,https://www.scherrer.info/,Statista CH
Swisscom Werbespot 2002,Swisscom,Facebook,2024-01-17,853636,Stress,"Nestlé – Qualität, der man vertraut.",https://www.haas.com/,Statista CH
UBS Werbespot 1974,UBS,TV,2023-09-15,5493562,Stéphane Lambiel,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://www.sidler.com/,Statista CH
Ricola Werbespot 1980,Ricola,Instagram,2025-01-31,1384158,Viola Tami,Galaxus – Fast alles für fast jeden.,https://www.buhlmann.biz/,Meta Ads Library
Swatch Werbespot 2011,Swatch,Instagram,2022-03-21,3771823,Roger Federer,Coop – Für mich und dich.,https://hoffmann-schneider.biz/,Meta Ads Library
Migros Werbespot 1990,Migros,Facebook,2025-02-18,351919,Stéphane Lambiel,Mit Swatch immer im Takt bleiben.,http://www.senn.com/,YouTube Leaderboard
SBB Werbespot 2014,SBB,TV,2020-12-27,1929136,Michelle Hunziker,Mit Swatch immer im Takt bleiben.,http://www.schar.com/,YouTube Leaderboard
Emmi Werbespot 1970,Emmi,Instagram,2023-10-10,2825034,Bastian Baker,Mit Swatch immer im Takt bleiben.,https://bar-gloor.com/,Horizont.ch
Coop Werbespot 2018,Coop,Instagram,2022-09-14,1823596,Michelle Hunziker,Mit Swatch immer im Takt bleiben.,https://www.gloor.org/,Meta Ads Library
Ricola Werbespot 2014,Ricola,TV,2021-12-24,6664757,,UBS – Vermögen weitsichtig gestalten.,https://www.gfeller.com/,Meta Ads Library
Galaxus Werbespot 1979,Galaxus,Facebook,2020-11-26,1719620,,"Nestlé – Qualität, der man vertraut.",http://www.schoch-wehrli.org/,Horizont.ch
Coop Werbespot 1989,Coop,YouTube,2024-01-13,5835112,,Ricola – Wer hat’s erfunden?,http://hofmann.com/,Statista CH
UBS Werbespot 2004,UBS,TikTok,2024-11-21,5734909,Lara Gut-Behrami,Frisch ab Hof – jetzt bei Migros.,https://schuler.biz/,Statista CH
Emmi Werbespot 2019,Emmi,TV,2023-01-15,6086506,Lara Gut-Behrami,Galaxus – Fast alles für fast jeden.,https://www.giger.org/,YouTube Leaderboard
Nestlé Werbespot 2009,Nestlé,TikTok,2020-06-22,4541230,Michelle Hunziker,Mit Swatch immer im Takt bleiben.,https://www.meili.info/,Horizont.ch
Emmi Werbespot 1988,Emmi,TV,2021-11-03,4512929,Stress,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://meili.biz/,YouTube Leaderboard
Coop Werbespot 1992,Coop,TV,2023-01-11,4101349,Bastian Baker,Galaxus – Fast alles für fast jeden.,http://www.lanz-studer.info/,Horizont.ch
Galaxus Werbespot 1989,Galaxus,TV,2023-09-15,5653798,,Frisch ab Hof – jetzt bei Migros.,http://huber.com/,Statista CH
UBS Werbespot 1977,UBS,TV,2023-09-26,3568780,Michelle Hunziker,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,http://baur-frei.net/,SRF
UBS Werbespot 1994,UBS,TikTok,2024-07-15,4645017,Bastian Baker,Ricola – Wer hat’s erfunden?,https://www.hasler.com/,Meta Ads Library
Swatch Werbespot 1989,Swatch,YouTube,2024-01-10,4059282,Stéphane Lambiel,Emmi – So schmeckt die Schweiz.,https://www.sidler.com/,Statista CH
Swatch Werbespot 2018,Swatch,TV,2021-08-24,8244615,Stéphane Lambiel,Galaxus – Fast alles für fast jeden.,https://www.lang.com/,Meta Ads Library
Coop Werbespot 2001,Coop,Facebook,2021-04-18,6794725,Bastian Baker,UBS – Vermögen weitsichtig gestalten.,http://hodel.com/,SRF
Galaxus Werbespot 1998,Galaxus,TV,2024-05-27,8917391,Anna Rossinelli,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://www.schar-ernst.biz/,Statista CH
Swatch Werbespot 1982,Swatch,Instagram,2024-08-15,7622582,Anna Rossinelli,"Nestlé – Qualität, der man vertraut.",http://www.wirth-zbinden.biz/,SRF
Ricola Werbespot 1993,Ricola,YouTube,2024-08-13,3241028,Stéphane Lambiel,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://www.vogt-hoffmann.org/,Meta Ads Library
Swatch Werbespot 2009,Swatch,Facebook,2024-06-18,3640331,Michelle Hunziker,Galaxus – Fast alles für fast jeden.,http://mettler.net/,SRF
Galaxus Werbespot 2021,Galaxus,TikTok,2024-12-02,4757930,,Coop – Für mich und dich.,https://frei-stutz.com/,YouTube Leaderboard
Ricola Werbespot 2008,Ricola,Instagram,2023-07-22,3020529,Stéphane Lambiel,"Nestlé – Qualität, der man vertraut.",http://hug.info/,Meta Ads Library
Swatch Werbespot 2017,Swatch,Instagram,2023-07-17,773626,Michelle Hunziker,Frisch ab Hof – jetzt bei Migros.,https://www.battig-christen.net/,Horizont.ch
Ricola Werbespot 2010,Ricola,TV,2023-02-14,1731135,Michelle Hunziker,Frisch ab Hof – jetzt bei Migros.,http://rey.com/,Horizont.ch
Ricola Werbespot 2019,Ricola,TV,2021-07-10,7399840,Stress,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://www.meili.com/,YouTube Leaderboard
Migros Werbespot 2012,Migros,TV,2023-09-05,1924064,Bastian Baker,Coop – Für mich und dich.,http://roos.info/,Statista CH
Emmi Werbespot 2006,Emmi,TikTok,2020-08-08,909411,Lara Gut-Behrami,Swisscom – Die Zukunft ist jetzt.,http://www.stockli.com/,YouTube Leaderboard
Galaxus Werbespot 1999,Galaxus,YouTube,2021-02-18,4173953,Bastian Baker,Coop – Für mich und dich.,http://studer.com/,Horizont.ch
Nestlé Werbespot 1973,Nestlé,TikTok,2023-01-21,3796401,,Ricola – Wer hat’s erfunden?,http://keller-lustenberger.com/,Statista CH
Emmi Werbespot 1986,Emmi,Instagram,2024-10-25,7204570,Stress,"Nestlé – Qualität, der man vertraut.",https://www.ferrari.org/,Horizont.ch
Galaxus Werbespot 1996,Galaxus,TikTok,2022-05-07,1674863,Roger Federer,UBS – Vermögen weitsichtig gestalten.,https://www.mayer.com/,YouTube Leaderboard
Ricola Werbespot 2001,Ricola,YouTube,2022-06-21,2644980,,UBS – Vermögen weitsichtig gestalten.,http://stettler-schafer.com/,YouTube Leaderboard
Swatch Werbespot 1975,Swatch,Facebook,2024-01-21,54891,Lara Gut-Behrami,Emmi – So schmeckt die Schweiz.,https://leunberger.info/,Statista CH
Galaxus Werbespot 1990,Galaxus,Instagram,2021-12-28,557605,Stress,UBS – Vermögen weitsichtig gestalten.,https://graf.org/,SRF
Ricola Werbespot 1994,Ricola,YouTube,2025-03-09,3926201,Stress,"Nestlé – Qualität, der man vertraut.",https://stauffer.com/,Horizont.ch
SBB Werbespot 1970,SBB,YouTube,2025-02-10,3781676,Viola Tami,Swisscom – Die Zukunft ist jetzt.,http://wirz-ziegler.com/,SRF
Swisscom Werbespot 2011,Swisscom,YouTube,2023-04-18,2793722,Lara Gut-Behrami,"Nestlé – Qualität, der man vertraut.",http://www.haas.com/,Horizont.ch
Galaxus Werbespot 2012,Galaxus,TV,2021-02-14,2096308,Bastian Baker,Galaxus – Fast alles für fast jeden.,http://bar-schmid.com/,SRF
Nestlé Werbespot 2019,Nestlé,TikTok,2021-06-01,8294509,Bastian Baker,Galaxus – Fast alles für fast jeden.,http://wehrli-lehmann.com/,Meta Ads Library
Galaxus Werbespot 1983,Galaxus,TV,2021-06-03,5417658,Roger Federer,Mit Swatch immer im Takt bleiben.,https://hafliger.com/,SRF
Migros Werbespot 2020,Migros,Facebook,2023-03-07,358050,Lara Gut-Behrami,"Nestlé – Qualität, der man vertraut.",http://erni.biz/,Horizont.ch
Migros Werbespot 2024,Migros,TV,2025-01-14,8716768,Michelle Hunziker,Galaxus – Fast alles für fast jeden.,https://www.ammann-hartmann.net/,SRF
Swisscom Werbespot 1978,Swisscom,TV,2024-03-01,8259789,,Coop – Für mich und dich.,https://kessler.com/,Statista CH
UBS Werbespot 2015,UBS,Instagram,2022-04-15,5396463,Viola Tami,Coop – Für mich und dich.,https://www.schaub.com/,YouTube Leaderboard
UBS Werbespot 2014,UBS,TV,2020-11-01,4845492,Viola Tami,Emmi – So schmeckt die Schweiz.,https://lang.com/,Horizont.ch
Migros Werbespot 1972,Migros,YouTube,2022-11-20,5286722,Stress,"Nestlé – Qualität, der man vertraut.",https://www.graf.com/,SRF
Coop Werbespot 1996,Coop,TikTok,2024-02-27,29311,Viola Tami,Ricola – Wer hat’s erfunden?,https://wegmann.biz/,Statista CH
Nestlé Werbespot 2014,Nestlé,Facebook,2021-02-20,8707969,Roger Federer,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://bar-stucki.com/,Horizont.ch
Emmi Werbespot 1984,Emmi,TV,2024-01-26,875901,,UBS – Vermögen weitsichtig gestalten.,https://www.braun-stockli.com/,SRF
Swatch Werbespot 2007,Swatch,Instagram,2023-05-08,7360368,Michelle Hunziker,Galaxus – Fast alles für fast jeden.,http://frei-burri.info/,Meta Ads Library
Migros Werbespot 1976,Migros,TikTok,2022-02-06,4024745,,Swisscom – Die Zukunft ist jetzt.,http://www.gross-christen.org/,SRF
Swatch Werbespot 1983,Swatch,TikTok,2020-11-18,6854947,Roger Federer,Coop – Für mich und dich.,http://www.imhof.org/,YouTube Leaderboard
Coop Werbespot 1970,Coop,YouTube,2022-08-28,2593206,Stress,Galaxus – Fast alles für fast jeden.,http://www.haas.com/,SRF
Swatch Werbespot 2014,Swatch,TV,2020-07-08,8104999,Bastian Baker,Galaxus – Fast alles für fast jeden.,http://www.zbinden-wyss.com/,YouTube Leaderboard
Emmi Werbespot 2010,Emmi,Facebook,2023-01-19,6445505,,UBS – Vermögen weitsichtig gestalten.,http://www.baur-christen.biz/,Horizont.ch
Swatch Werbespot 2005,Swatch,YouTube,2021-04-07,4644662,Michelle Hunziker,Emmi – So schmeckt die Schweiz.,http://wolf-kalin.net/,SRF
Swatch Werbespot 2010,Swatch,YouTube,2021-03-23,4755250,Bastian Baker,"Nestlé – Qualität, der man vertraut.",https://www.baumann.net/,Horizont.ch
Galaxus Werbespot 1990,Galaxus,TV,2024-03-12,2503017,,Galaxus – Fast alles für fast jeden.,http://www.kung-luscher.com/,Horizont.ch
Emmi Werbespot 2003,Emmi,Instagram,2024-01-27,6338534,Anna Rossinelli,Galaxus – Fast alles für fast jeden.,http://www.schurch-ernst.com/,SRF
SBB Werbespot 1978,SBB,TikTok,2022-08-21,6435184,Stéphane Lambiel,UBS – Vermögen weitsichtig gestalten.,https://ritter.net/,Statista CH
Migros Werbespot 2011,Migros,TV,2023-12-16,6405997,Anna Rossinelli,Emmi – So schmeckt die Schweiz.,http://www.stalder.com/,YouTube Leaderboard
Emmi Werbespot 1999,Emmi,Facebook,2024-02-20,8437047,Roger Federer,Mit Swatch immer im Takt bleiben.,http://martin-kung.biz/,SRF
Coop Werbespot 2019,Coop,YouTube,2021-02-08,8833994,Stress,Galaxus – Fast alles für fast jeden.,https://steiger-hafliger.com/,Meta Ads Library
Swisscom Werbespot 1980,Swisscom,Facebook,2024-05-01,1265409,Viola Tami,Galaxus – Fast alles für fast jeden.,http://www.bolliger.com/,SRF
UBS Werbespot 2020,UBS,TV,2023-06-20,1357467,,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,http://www.schaub.com/,Horizont.ch
Nestlé Werbespot 1997,Nestlé,TV,2023-04-22,612286,Anna Rossinelli,Mit Swatch immer im Takt bleiben.,https://www.schuler-hotz.com/,Meta Ads Library
SBB Werbespot 1977,SBB,Instagram,2025-03-19,3826586,,Coop – Für mich und dich.,http://www.mettler.com/,Statista CH
